account_id,account_type,posted_date,amount,currency,raw_description,source,transaction_id
leumi-main,bank,2026-02-01,-6200.00,ILS,שכר דירה הוראת קבע,seed,f945adc4f3f18b42
max-1234,credit_card,2026-02-02,-25.00,ILS,SPOTIFY,seed,c259d36cbfc27c7c
max-1234,credit_card,2026-02-02,-611.37,ILS,ארנונה תל אביב,seed,f73293a792d2e408
isracard-5678,credit_card,2026-02-02,-55.00,ILS,NETFLIX.COM,seed,fb4daa23ce2ad505
max-1234,credit_card,2026-02-02,-107.47,ILS,סינמה סיטי,seed,30a9a2070b739ce6
max-1234,credit_card,2026-02-03,-531.92,ILS,הפניקס ביטוח,seed,4c4496066c1de429
max-1234,credit_card,2026-02-03,-2747.91,ILS,גן ילדים פרטי,seed,55d2353ff6eb2ac5
isracard-5678,credit_card,2026-02-03,-41.24,ILS,GETT,seed,2bb81ec01c6b0a5f
max-1234,credit_card,2026-02-04,-95.77,ILS,מי אביבים,seed,1e9f8d48b816e9e0
max-1234,credit_card,2026-02-04,-58.00,ILS,GETT,seed,76c269c45549c3f3
isracard-5678,credit_card,2026-02-05,-70.00,ILS,סופר פארם,seed,d69db5b3b7015d83
isracard-5678,credit_card,2026-02-05,-12.00,ILS,iCloud,seed,20ebacc4b9c3948b
isracard-5678,credit_card,2026-02-05,-364.27,ILS,הפניקס ביטוח,seed,5a516d7baf27cfd6
max-1234,credit_card,2026-02-06,-74.32,ILS,GETT,seed,3f6f91483df03fdc
max-1234,credit_card,2026-02-06,-153.10,ILS,סינמה סיטי,seed,e415bd436bf0dbdc
isracard-5678,credit_card,2026-02-06,-25.00,ILS,SPOTIFY,seed,470282f64b8645f1
isracard-5678,credit_card,2026-02-07,-77.79,ILS,מכבי שירותי בריאות,seed,531ecd3bcedaae51
isracard-5678,credit_card,2026-02-07,-125.52,ILS,מי אביבים,seed,3dc5354886db63b0
max-1234,credit_card,2026-02-07,-122.27,ILS,מי אביבים,seed,94cc3b54571f1f1f
max-1234,credit_card,2026-02-08,-148.99,ILS,וולט,seed,0d7caaebe97c76d1
max-1234,credit_card,2026-02-08,-180.01,ILS,מי אביבים,seed,2c833481def39a97
leumi-main,bank,2026-02-09,24500.00,ILS,משכורת חברת הייטק בעמ,seed,3ecebec630af98d5
max-1234,credit_card,2026-02-09,-167.41,ILS,מי אביבים,seed,37bd5c570dc3a6e5
leumi-main,bank,2026-02-10,-3000.00,ILS,העברה לחשבון חסכון,seed,7efe02d9bd2f1745
leumi-savings,bank,2026-02-10,3000.00,ILS,העברה מחשבון עוש,seed,12438156fffdfcef
isracard-5678,credit_card,2026-02-12,-99.52,ILS,סינמה סיטי,seed,3fb0a58cc7b6fa20
isracard-5678,credit_card,2026-02-13,-278.40,ILS,שופרסל דיל,seed,6271baf194fe0d66
max-1234,credit_card,2026-02-13,-25.00,ILS,SPOTIFY,seed,7f3a40f4cddc76b1
isracard-5678,credit_card,2026-02-13,-478.92,ILS,הפניקס ביטוח,seed,db118a08e6402f00
isracard-5678,credit_card,2026-02-14,-119.64,ILS,רב קו אונליין,seed,8eda16effebf609d
isracard-5678,credit_card,2026-02-14,-32.25,ILS,GETT,seed,4136aa690a2466fc
max-1234,credit_card,2026-02-15,-75.62,ILS,רב קו אונליין,seed,51e488b22dd72c55
isracard-5678,credit_card,2026-02-15,-92.36,ILS,מכבי שירותי בריאות,seed,78523b20695fce6c
isracard-5678,credit_card,2026-02-16,-12.00,ILS,iCloud,seed,427d49c99c9a53b4
max-1234,credit_card,2026-02-16,-329.68,ILS,מסעדת הבשריה,seed,2a1989955c012739
max-1234,credit_card,2026-02-16,-151.36,ILS,יוחננוף,seed,5269b590cc43223d
isracard-5678,credit_card,2026-02-16,-12.00,ILS,iCloud,seed,585f439bc315ccc7
max-1234,credit_card,2026-02-17,-270.25,ILS,רמי לוי 342,seed,b468dbbb0b42d8c9
isracard-5678,credit_card,2026-02-17,-181.00,ILS,סינמה סיטי,seed,0401f82a20bd468e
isracard-5678,credit_card,2026-02-17,-132.57,ILS,סינמה סיטי,seed,adf27344814cd89e
isracard-5678,credit_card,2026-02-18,-151.11,ILS,סופר פארם,seed,23ddfd07519babf9
max-1234,credit_card,2026-02-18,-524.94,ILS,רמי לוי 342,seed,d432632a14f15bc8
isracard-5678,credit_card,2026-02-18,-1450.11,ILS,KSP מחשבים,seed,84bef90d7e18a9f6
max-1234,credit_card,2026-02-18,-2550.59,ILS,גן ילדים פרטי,seed,9eef3fe6d7d6daeb
isracard-5678,credit_card,2026-02-19,-106.45,ILS,סינמה סיטי,seed,4f768ae263d894e1
max-1234,credit_card,2026-02-19,-287.65,ILS,חברת החשמל,seed,3c3e1cf8697c8868
isracard-5678,credit_card,2026-02-20,-431.76,ILS,יוחננוף,seed,6259be332c0fb773
max-1234,credit_card,2026-02-22,-118.38,ILS,רב קו אונליין,seed,10f5f0080c6a1118
isracard-5678,credit_card,2026-02-22,-290.36,ILS,פז יעד לוד,seed,350a109398c654a4
isracard-5678,credit_card,2026-02-22,-229.80,ILS,פז יעד לוד,seed,7adb52a8ed92b753
max-1234,credit_card,2026-02-22,-59.43,ILS,מכבי שירותי בריאות,seed,07d77c8fdc8dfa00
max-1234,credit_card,2026-02-23,-885.74,ILS,KSP מחשבים,seed,a59671f5f74ff9db
max-1234,credit_card,2026-02-23,-12.00,ILS,iCloud,seed,c433828262c1c8a4
isracard-5678,credit_card,2026-02-24,-150.97,ILS,מסעדת הבשריה,seed,0c84ce6ac990025c
max-1234,credit_card,2026-02-24,-102.43,ILS,שופרסל דיל,seed,d20b884ebbe9303a
max-1234,credit_card,2026-02-25,-313.97,ILS,KSP מחשבים,seed,8d6f8317a2f63177
isracard-5678,credit_card,2026-02-26,-581.12,ILS,ארנונה תל אביב,seed,91612e804d56f557
max-1234,credit_card,2026-02-26,-384.07,ILS,שופרסל דיל,seed,cfed8302fec8de6f
max-1234,credit_card,2026-02-26,-135.29,ILS,וולט,seed,aa0ff4a3af0ce2dd
max-1234,credit_card,2026-02-27,-69.50,ILS,GETT,seed,814fd94aae9d9f4d
max-1234,credit_card,2026-02-27,-661.00,ILS,רמי לוי 342,seed,b97d9d5fb6726848
max-1234,credit_card,2026-02-27,-392.76,ILS,יוחננוף,seed,c8b0047b88f67c8b
max-1234,credit_card,2026-02-28,-25.00,ILS,SPOTIFY,seed,d5d3ecf7ad463bac
max-1234,credit_card,2026-02-28,-659.50,ILS,רמי לוי 342,seed,4f5160d53611f36a
leumi-main,bank,2026-03-01,-6200.00,ILS,שכר דירה הוראת קבע,seed,474ed360855d3c47
max-1234,credit_card,2026-03-01,-74.57,ILS,סופר פארם,seed,c4189ef19effc622
max-1234,credit_card,2026-03-01,-414.42,ILS,מסעדת הבשריה,seed,4d0b1359ed9a610d
max-1234,credit_card,2026-03-02,-12.00,ILS,iCloud,seed,a5c92c167d3d6192
max-1234,credit_card,2026-03-02,-528.94,ILS,ארנונה תל אביב,seed,5e5142a51f25e2b9
max-1234,credit_card,2026-03-03,-127.41,ILS,יוחננוף,seed,8ba61aa6d420d3de
isracard-5678,credit_card,2026-03-03,-98.51,ILS,סופר פארם,seed,7825c1b828584f76
isracard-5678,credit_card,2026-03-04,-25.00,ILS,SPOTIFY,seed,321d188a9dcdad6a
isracard-5678,credit_card,2026-03-04,-581.77,ILS,הפניקס ביטוח,seed,6297a1f227701654
max-1234,credit_card,2026-03-05,-860.30,ILS,חברת החשמל,seed,8e09daebd221af7e
max-1234,credit_card,2026-03-06,-247.81,ILS,יוחננוף,seed,4cad647d2695a73a
isracard-5678,credit_card,2026-03-07,-295.69,ILS,מסעדת הבשריה,seed,58645a0392934a6e
isracard-5678,credit_card,2026-03-07,-12.00,ILS,iCloud,seed,cc1bc12964af4337
max-1234,credit_card,2026-03-07,-32.84,ILS,רב קו אונליין,seed,fda94d1fdf383abd
isracard-5678,credit_card,2026-03-08,-157.73,ILS,שופרסל דיל,seed,e35cafc2df31ffee
max-1234,credit_card,2026-03-08,-142.58,ILS,מכבי שירותי בריאות,seed,03e7cce2b6e07981
leumi-main,bank,2026-03-09,24500.00,ILS,משכורת חברת הייטק בעמ,seed,bae896dba32ea495
max-1234,credit_card,2026-03-09,-62.74,ILS,GETT,seed,22b7e0f827446631
