merchant_key,true_category_id
רמי לוי,groceries
שופרסל דיל,groceries
יוחננוף,groceries
וולט,restaurants
קפה גרג,restaurants
מסעדת הבשריה,restaurants
פז יעד לוד,transport
רב קו אונליין,transport
gett,transport
חברת החשמל,housing
מי אביבים,housing
ארנונה תל אביב,housing
שכר דירה הוראת קבע,housing
סופר פארם,health
מכבי שירותי בריאות,health
גן ילדים פרטי,kids
zara tlv,clothing
netflix.com,subscriptions
spotify,subscriptions
icloud,subscriptions
ksp מחשבים,electronics
סינמה סיטי,entertainment
הפניקס ביטוח,insurance
